,User-ID,ISBN,Book-Rating
0,276725,034545104X,0
1,276726,0155061224,5
2,276727,0446520802,0
3,276729,052165615X,3
4,276729,0521795028,6
5,276733,2080674722,0
6,276736,3257224281,8
7,276737,0600570967,6
8,276744,038550120X,7
9,276745,342310538,10
10,276746,0425115801,0
11,276746,0449006522,0
12,276746,0553561618,0
13,276746,055356451X,0
14,276746,0786013990,0
15,276746,0786014512,0
16,276747,0060517794,9
17,276747,0451192001,0
18,276747,0609801279,0
19,276747,0671537458,9
20,276747,0679776818,8
21,276747,0943066433,7
22,276747,1570231028,0
23,276747,1885408226,7
24,276748,0747558167,6
25,276748,3442437407,0
26,276751,033390804X,0
27,276751,3596218098,8
28,276754,0684867621,8
29,276755,0451166892,5
30,276760,8440682697,10
31,276762,034544003X,0
32,276762,0380000059,0
33,276762,0380711524,5
34,276762,0451167317,0
35,276762,0451454952,0
36,276762,0843920262,0
37,276762,3404122879,0
38,276762,3404182928,0
39,276762,3404611306,0
40,276762,342662429,0
41,276762,3426690179,0
42,276762,3442424216,0
43,276762,3442425573,0
44,276762,3453092007,8
45,276762,3453157745,0
46,276762,3453176944,0
47,276762,3453185137,0
48,276762,3453185323,0
49,276762,3453213025,3
50,276762,3453877241,0
51,276762,3492226604,0
52,276762,3517017442,0
53,276762,3596125006,0
54,276762,B0000BLD7X,0
55,276762,N3453124715,4
56,276765,9029716894,0
57,276768,9057868059,4
58,276772,0140279091,0
59,276772,0553572369,7
60,276772,0571058086,0
61,276772,3499230933,10
62,276772,3596151465,10
63,276774,0099543818,0
64,276774,3404147723,0
65,276774,3423111321,0
66,276774,3442136644,9
67,276774,3492232000,0
68,276780,8434811634,0
69,276780,8484330478,7
70,276780,8484332039,7
71,276786,2864322102,6
72,276786,8402065945,0
73,276786,8423314901,0
74,276786,842333533X,0
75,276786,8427911769,0
76,276786,8433914456,0
77,276786,8437606322,8
78,276786,8445072919,0
79,276786,8466300821,6
80,276786,847765011X,0
81,276786,8478442588,6
82,276786,8495368099,0
83,276788,0345443683,8
84,276788,043935806X,7
85,276788,055310666X,10
86,276796,0330332775,5
87,276796,0330367358,0
88,276798,0006379702,5
89,276798,3423084049,0
90,276798,3442131340,7
91,276798,3442437407,0
92,276798,3446202102,0
93,276798,3453073398,0
94,276798,3453115783,0
95,276798,3499134004,0
96,276798,349915398X,0
97,276798,3548603203,6
98,276798,3764501383,0
99,276798,3791535889,0
100,276800,0061054143,0
101,276800,0061054151,0
102,276800,0061056774,0
103,276800,0671021346,0
104,276800,0671024108,0
105,276800,1562827898,7
106,276803,9726954835,0
107,276804,0064405176,0
108,276804,0439104769,0
109,276804,0440498058,8
110,276806,8807817144,0
111,276806,8845915913,0
112,276808,0395547032,10
113,276811,0440414121,10
114,276812,8879839993,8
115,276813,8401328322,0
116,276813,8401461189,0
117,276813,8401471796,0
118,276813,8423996565,8
119,276813,8424130081,0
120,276813,8426449476,8
121,276813,8426449573,6
122,276813,8478884831,8
123,276813,8478885218,6
124,276813,8478885463,6
125,276813,8478886044,8
126,276813,8495618052,0
127,276814,0091830893,8
128,276814,0586207414,7
129,276814,0812571029,9
130,276817,0671749609,0
131,276820,0140062718,0
132,276820,0140260498,9
133,276822,0060096195,10
134,276822,0141310340,9
135,276822,0142302198,10
136,276822,0156006065,9
137,276822,0375821813,9
138,276822,038076041X,10
139,276822,0439087597,0
140,276822,0439401399,6
141,276822,0552546933,9
142,276822,0689804458,8
143,276822,0699854289,10
144,276822,0786812508,9
145,276822,0786817070,10
146,276822,0805057706,10
147,276822,1551925060,8
148,276822,1573248533,10
149,276827,000651118X,7
150,276828,0385272324,0
151,276828,2038701962,0
152,276828,2070264564,0
153,276828,2070334430,0
154,276828,2070403734,0
155,276828,2080680676,0
156,276828,2232122263,0
157,276828,2253044903,0
158,276828,2253150711,7
159,276828,2266076000,0
160,276828,2277221678,0
161,276828,2290321028,0
162,276828,2842190009,0
163,276830,0440225825,9
164,276832,0316781266,0
165,276832,0345446860,5
166,276833,0671876244,0
167,276835,3125785006,10
168,276837,0380005239,5
169,276838,1593080255,0
170,276840,0330201700,0
171,276840,0385729340,0
172,276842,3809407536,7
173,276847,0446364193,0
174,276847,3257200552,5
175,276847,3379015180,0
176,276847,3404145909,8
177,276847,3404148576,8
178,276847,3404921178,7
179,276847,3423071516,10
180,276847,3423204885,0
181,276847,3423205806,0
182,276847,3426029553,8
183,276847,3426622610,0
184,276847,3426671298,8
185,276847,344215121X,9
186,276847,3442413508,10
187,276847,3442422035,9
188,276847,3442435773,8
189,276847,3442437717,7
190,276847,3442441080,10
191,276847,3442442796,0
192,276847,3442444020,8
193,276847,3442446414,10
194,276847,3442448530,7
195,276847,3442449820,9
196,276847,3453137442,6
197,276847,3453870190,0
198,276847,3455077331,0
199,276847,347354034X,7
200,276847,3492231322,9
201,276847,349912176X,0
202,276847,3499222213,7
203,276847,3499228297,6
204,276847,3499232529,0
205,276847,3499233436,0
206,276847,3499264528,0
207,276847,3499433443,8
208,276847,3506464078,10
209,276847,3548602967,0
210,276847,3551551677,10
211,276847,3551551685,10
212,276847,3551551693,10
213,276847,3551551936,10
214,276847,359621078X,9
215,276847,3608932240,7
216,276847,360893541X,10
217,276847,3608935428,10
218,276847,3608935436,10
219,276847,374661922X,0
220,276847,3770131495,0
221,276847,3809024589,8
222,276847,3821815191,10
223,276847,3932069234,5
224,276848,3423100424,0
225,276848,3442096596,0
226,276848,3442440777,0
227,276848,3453009304,0
228,276848,3453042905,0
229,276848,3453061187,0
230,276848,3453071174,0
231,276848,3453127013,0
232,276848,3453211014,0
233,276848,3462026062,8
234,276848,349926028X,0
235,276848,3596122279,0
236,276848,3596287200,0
237,276848,3922524443,0
238,276850,0449217264,7
239,276852,0140621741,0
240,276852,055321358X,0
241,276853,8420457477,1
242,276853,8448034023,7
243,276854,0671034944,5
244,276854,074931012X,5
